Page Title,URL,Num Of Pictures,Num Of Languages,Num Of References,Num Of Contents,Num Of Tables,Num Of Categories,Num Of Redirects,Views In 30 Last Days,Avg Views Per Day,Total Views,Num Of Edits
25th Maine Infantry Regiment,https://en.wikipedia.org/wiki/25th_Maine_Infantry_Regiment,0,0,0,6,0,4,2,33,0.529287821,1256,22
Bahrs,https://en.wikipedia.org/wiki/Bahrs,2,0,0,0,0,7,3,42,5.0168563,11905,33
Lambda Pavonis,https://en.wikipedia.org/wiki/Lambda_Pavonis,1,4,15,0,0,11,1,30,2.992414665,7101,28
"Najjar Kola, Babol","https://en.wikipedia.org/wiki/Najjar_Kola,_Babol",2,4,2,0,0,2,1,9,2.072060683,4917,5
Chnaunanthus,https://en.wikipedia.org/wiki/Chnaunanthus,1,4,2,0,0,2,0,22,1.916139907,4547,6
Maral Feizbakhsh,https://en.wikipedia.org/wiki/Maral_Feizbakhsh,1,4,2,0,0,9,0,18,3.018963338,7164,19
SS Dordogne,https://en.wikipedia.org/wiki/SS_Dordogne,1,2,5,0,0,10,1,34,3.737463127,8869,24
Permochiton,https://en.wikipedia.org/wiki/Permochiton,2,0,1,0,0,4,0,17,2.081753055,4940,11
San Nicolás Tolentino,https://en.wikipedia.org/wiki/San_Nicol%C3%A1s_Tolentino,4,3,1,5,0,2,1,58,5.04214075,11965,59
1966 Houston Astros season,https://en.wikipedia.org/wiki/1966_Houston_Astros_season,0,1,15,6,8,3,0,44,8.755162242,20776,61
The Boils,https://en.wikipedia.org/wiki/The_Boils,1,0,3,2,0,3,0,74,7.442056469,17660,41
"Foxton, County Durham","https://en.wikipedia.org/wiki/Foxton,_County_Durham",3,2,3,0,0,3,0,13,2.083017278,4943,18
Valdobbiadene,https://en.wikipedia.org/wiki/Valdobbiadene,9,49,5,0,0,4,0,968,38.98103666,92502,86
Discovery Bay International School,https://en.wikipedia.org/wiki/Discovery_Bay_International_School,1,3,1,0,0,8,0,176,8.82638011,20945,23
Karl Patterson Schmidt,https://en.wikipedia.org/wiki/Karl_Patterson_Schmidt,2,14,14,9,0,12,5,"3,496",124.9827223,296584,216
Inner Sanctum (1948 film),https://en.wikipedia.org/wiki/Inner_Sanctum_(1948_film),3,2,0,4,0,11,0,344,20.72060683,49170,65
"Rexburg, Idaho","https://en.wikipedia.org/wiki/Rexburg,_Idaho",8,45,32,11,1,6,9,"3,349",174.8664138,414958,"1,065"
Joel Tepp,https://en.wikipedia.org/wiki/Joel_Tepp,2,0,1,4,0,16,0,30,5.131900548,12178,75
How Hermes Requisitioned His Groove Back,https://en.wikipedia.org/wiki/How_Hermes_Requisitioned_His_Groove_Back,0,4,4,5,0,4,5,514,31.34007585,74370,450
Pycnandra acuminata,https://en.wikipedia.org/wiki/Pycnandra_acuminata,2,6,8,0,0,6,0,460,13.8596713,32889,26
Breathe Again,https://en.wikipedia.org/wiki/Breathe_Again,2,5,58,8,4,12,1,"1,280",68.22629583,161901,285
Deerbrook Mall (Illinois),https://en.wikipedia.org/wiki/Deerbrook_Mall_(Illinois),1,0,14,4,0,4,2,87,5.034976823,11948,209
Scrobipalpa stabilis,https://en.wikipedia.org/wiki/Scrobipalpa_stabilis,0,1,3,0,0,3,0,13,2.276443321,5402,12
I Just Came Home to Count the Memories (song),https://en.wikipedia.org/wiki/I_Just_Came_Home_to_Count_the_Memories_(song),1,0,6,2,3,11,0,54,5.373788453,12752,22
1985 Burmese general election,https://en.wikipedia.org/wiki/1985_Burmese_general_election,2,2,2,0,1,4,1,378,6.362831858,15099,31
Edmund Musgrave Barttelot,https://en.wikipedia.org/wiki/Edmund_Musgrave_Barttelot,1,3,10,4,0,10,2,295,18.6573957,44274,102
Roman Catholic Diocese of Tagum,https://en.wikipedia.org/wiki/Roman_Catholic_Diocese_of_Tagum,4,6,1,5,0,6,1,159,8.036241045,19070,59
1999 Marlboro 500,https://en.wikipedia.org/wiki/1999_Marlboro_500,4,1,9,10,4,4,2,481,20.2022756,47940,243
Héricourt-sur-Thérain,https://en.wikipedia.org/wiki/H%C3%A9ricourt-sur-Th%C3%A9rain,4,31,2,0,0,2,1,14,2.750526759,6527,44
Blackburn Cirrus Bombardier,https://en.wikipedia.org/wiki/Blackburn_Cirrus_Bombardier,1,2,1,6,0,4,1,84,5.919511167,14047,28
Betty and Veronica (Veronica Mars),https://en.wikipedia.org/wiki/Betty_and_Veronica_(Veronica_Mars),0,0,8,8,0,2,1,188,18.89254109,44832,88
Planet Pachinko,https://en.wikipedia.org/wiki/Planet_Pachinko,2,0,3,4,0,8,0,30,3.393594606,8053,35
Lemon-striped pygmy hogfish,https://en.wikipedia.org/wiki/Lemon-striped_pygmy_hogfish,1,3,3,5,0,2,1,16,0.512431521,1216,12
Fergus mac Fogartaig,https://en.wikipedia.org/wiki/Fergus_mac_Fogartaig,1,3,2,4,0,4,0,22,2.374209861,5634,18
The Original Text Solar Pons Omnibus Edition,https://en.wikipedia.org/wiki/The_Original_Text_Solar_Pons_Omnibus_Edition,1,0,0,2,0,3,0,47,4.436999579,10529,25
Avram Finkelstein,https://en.wikipedia.org/wiki/Avram_Finkelstein,1,1,9,0,0,12,0,205,9.518331226,22587,79
Tufanganj (Vidhan Sabha constituency),https://en.wikipedia.org/wiki/Tufanganj_(Vidhan_Sabha_constituency),2,1,2,4,4,2,0,260,14.44669195,34282,67
Peter J. Blenkinsop,https://en.wikipedia.org/wiki/Peter_J._Blenkinsop,4,1,6,4,1,7,0,7,0.442899284,1051,69
PRPF3,https://en.wikipedia.org/wiki/PRPF3,12,5,6,5,0,3,1,23,4.9662874,11785,34
Ibiza International Film Festival,https://en.wikipedia.org/wiki/Ibiza_International_Film_Festival,0,4,1,7,0,2,2,18,4.293721028,10189,69
Drew Milne,https://en.wikipedia.org/wiki/Drew_Milne,1,0,1,5,0,2,0,62,5.01179941,11893,33
Pál Závada,https://en.wikipedia.org/wiki/P%C3%A1l_Z%C3%A1vada,2,7,2,0,0,6,1,117,4.081753055,9686,24
Juozas Ambrazevičius,https://en.wikipedia.org/wiki/Juozas_Ambrazevi%C4%8Dius,4,6,4,5,1,16,5,212,9.522545301,22597,96
Granberry,https://en.wikipedia.org/wiki/Granberry,0,0,0,0,0,1,0,119,2.485461441,5898,8
Daniel Goldston,https://en.wikipedia.org/wiki/Daniel_Goldston,1,7,4,5,0,9,2,124,11.47576907,27232,73
Eurasian stone-curlew,https://en.wikipedia.org/wiki/Eurasian_stone-curlew,3,72,16,8,0,7,8,568,29.69700801,70471,245
Thomas Dafydd,https://en.wikipedia.org/wiki/Thomas_Dafydd,3,1,1,0,0,5,1,4,1.277286136,3031,12
2009 FIVB Volleyball Men's World Grand Champions Cup squads,https://en.wikipedia.org/wiki/2009_FIVB_Volleyball_Men%27s_World_Grand_Champions_Cup_squads,0,0,6,7,0,2,1,23,1.447534766,3435,11
Wilfred Brimblecombe,https://en.wikipedia.org/wiki/Wilfred_Brimblecombe,2,1,4,0,1,8,1,12,3.1179941,7399,18
Marguerita Time,https://en.wikipedia.org/wiki/Marguerita_Time,0,3,4,0,1,5,0,314,14.62579014,34707,42
Cyprien Martin,https://en.wikipedia.org/wiki/Cyprien_Martin,3,1,0,0,0,5,0,6,1.761483354,4180,12
Prabhleen Sandhu,https://en.wikipedia.org/wiki/Prabhleen_Sandhu,2,2,4,0,1,6,0,"1,281",110.3333333,261821,146
Currie Hall,https://en.wikipedia.org/wiki/Currie_Hall,19,0,7,8,1,4,0,54,9.553729456,22671,110
She's Playing Hard to Get,https://en.wikipedia.org/wiki/She%27s_Playing_Hard_to_Get,2,0,10,4,1,7,0,319,6.132321955,14552,23
Architectural photography,https://en.wikipedia.org/wiki/Architectural_photography,4,14,1,7,0,1,2,"1,128",101.8984408,241805,157
Carlos Augusto Bracho González,https://en.wikipedia.org/wiki/Carlos_Augusto_Bracho_Gonz%C3%A1lez,2,1,1,0,0,7,1,19,2.701643489,6411,11
Wait for Me (Susan Tedeschi album),https://en.wikipedia.org/wiki/Wait_for_Me_(Susan_Tedeschi_album),1,0,3,5,2,3,2,223,12.53476612,29745,49
Dobrowo,https://en.wikipedia.org/wiki/Dobrowo,3,12,1,0,0,2,0,34,2.859671302,6786,11
Moral of the Story (song),https://en.wikipedia.org/wiki/Moral_of_the_Story_(song),2,2,44,8,4,10,3,"2,337",57.48546144,136413,126
Wushu at the 2018 Asian Games – Men's sanda 60 kg,https://en.wikipedia.org/wiki/Wushu_at_the_2018_Asian_Games_%E2%80%93_Men%27s_sanda_60_kg,5,0,1,4,1,1,1,30,1.509903076,3583,11
Fortín Las Chuñas,https://en.wikipedia.org/wiki/Fort%C3%ADn_Las_Chu%C3%B1as,2,1,1,0,0,2,1,1,1.432364096,3399,11
Tristeirometa,https://en.wikipedia.org/wiki/Tristeirometa,2,1,0,0,0,2,0,4,1.226295828,2910,12
Hendrick van Uylenburgh,https://en.wikipedia.org/wiki/Hendrick_van_Uylenburgh,1,7,1,4,0,7,4,106,10.16519174,24122,71
Jordan Zimmermann,https://en.wikipedia.org/wiki/Jordan_Zimmermann,3,9,36,4,1,18,5,744,154.9077118,367596,590
Marcel Ponitka,https://en.wikipedia.org/wiki/Marcel_Ponitka,0,3,2,4,0,10,0,197,1.381373788,3278,5
Rouyn-Noranda (electoral district),https://en.wikipedia.org/wiki/Rouyn-Noranda_(electoral_district),0,1,0,0,0,2,1,15,2.462705436,5844,9
Ali Kafi,https://en.wikipedia.org/wiki/Ali_Kafi,5,24,3,5,1,13,1,695,32.73324905,77676,148
1924 Hamburg state election,https://en.wikipedia.org/wiki/1924_Hamburg_state_election,0,0,1,0,1,3,0,18,0.198482933,471,2
Desulfotomaculum arcticum,https://en.wikipedia.org/wiki/Desulfotomaculum_arcticum,1,1,1,0,0,2,0,6,1.517067004,3600,13
Joaquina Cabrera,https://en.wikipedia.org/wiki/Joaquina_Cabrera,2,2,6,3,0,4,0,24,1.601348504,3800,18
List of Razor & Tie artists,https://en.wikipedia.org/wiki/List_of_Razor_%26_Tie_artists,1,0,0,0,0,2,0,410,14.51790982,34451,81
Étienne Lécroart,https://en.wikipedia.org/wiki/%C3%89tienne_L%C3%A9croart,2,1,0,4,0,7,1,43,3.459755584,8210,24
Rubén Wolkowyski,https://en.wikipedia.org/wiki/Rub%C3%A9n_Wolkowyski,0,19,5,5,0,48,4,290,23.67045933,56170,191
Kampong Tanah Jambu,https://en.wikipedia.org/wiki/Kampong_Tanah_Jambu,2,2,2,3,0,3,5,46,0.357774968,849,8
Austin Robertson Jr.,https://en.wikipedia.org/wiki/Austin_Robertson_Jr.,0,1,8,0,0,7,3,260,9.024441635,21415,80
Parmastomyces,https://en.wikipedia.org/wiki/Parmastomyces,2,5,1,0,0,4,0,15,1.835229667,4355,19
Sex reassignment surgery (female-to-male),https://en.wikipedia.org/wiki/Sex_reassignment_surgery_(female-to-male),10,4,20,7,0,2,14,"28,754",1344.382217,3190219,368
Adriano Russo,https://en.wikipedia.org/wiki/Adriano_Russo,3,3,1,0,0,20,0,22,8.882848715,21079,45
Thor's scaldfish,https://en.wikipedia.org/wiki/Thor%27s_scaldfish,1,14,2,0,0,8,1,58,4.669195112,11080,19
The Siamese Twin Mystery,https://en.wikipedia.org/wiki/The_Siamese_Twin_Mystery,2,4,0,0,0,3,0,98,6.674673409,15839,33
Alfred Huet du Pavillon,https://en.wikipedia.org/wiki/Alfred_Huet_du_Pavillon,0,7,6,0,0,4,1,12,2.351453856,5580,12
Stevenson Leisure UK,https://en.wikipedia.org/wiki/Stevenson_Leisure_UK,2,0,1,0,0,1,0,1,1.367888748,3246,12
Sageraea thwaitesii,https://en.wikipedia.org/wiki/Sageraea_thwaitesii,2,4,1,0,0,5,0,3,1.957437842,4645,19
Jack Wilson (jazz pianist),https://en.wikipedia.org/wiki/Jack_Wilson_(jazz_pianist),1,5,3,3,0,16,0,310,16.49894648,39152,112
Political Prisoner's Medal 1914–1918,https://en.wikipedia.org/wiki/Political_Prisoner%27s_Medal_1914%E2%80%931918,5,2,2,6,0,6,1,6,3.12810788,7423,26
Alan Parker (author),https://en.wikipedia.org/wiki/Alan_Parker_(author),0,2,2,4,0,5,0,396,15.45638432,36678,136
Kentaro Yoshida,https://en.wikipedia.org/wiki/Kentaro_Yoshida,2,19,1,4,1,13,0,50,2.658238517,6308,29
WSBS-TV,https://en.wikipedia.org/wiki/WSBS-TV,1,0,2,5,2,6,6,252,21.77412558,51670,180
Islip Speedway,https://en.wikipedia.org/wiki/Islip_Speedway,5,1,11,7,0,9,0,330,23.29624947,55282,82
Dillwyn Correctional Center,https://en.wikipedia.org/wiki/Dillwyn_Correctional_Center,0,0,1,0,0,3,0,179,9.627475769,22846,7
"Weir, Illinois","https://en.wikipedia.org/wiki/Weir,_Illinois",3,1,1,0,0,3,0,10,2.156342183,5117,12
Earl Belmore,https://en.wikipedia.org/wiki/Earl_Belmore,4,3,3,0,0,5,6,235,13.2077539,31342,65
Ernst Cramer (architect),https://en.wikipedia.org/wiki/Ernst_Cramer_(architect),1,4,0,4,0,5,0,30,3.508217446,8325,35
Dhivara (song),https://en.wikipedia.org/wiki/Dhivara_(song),1,2,11,0,0,8,1,518,6.207753898,14731,49
Mickey Johnson,https://en.wikipedia.org/wiki/Mickey_Johnson,1,6,10,4,0,18,0,"1,353",17.88411294,42439,74
Police Rescue,https://en.wikipedia.org/wiki/Police_Rescue,2,5,3,9,13,7,1,"1,316",60.18626212,142822,504
Pleopeltis,https://en.wikipedia.org/wiki/Pleopeltis,1,5,6,0,0,5,3,90,5.827222925,13828,30
Shabaka Hutchings,https://en.wikipedia.org/wiki/Shabaka_Hutchings,3,3,8,5,0,9,1,"2,897",60.0505689,142500,85
Chrysiliou,https://en.wikipedia.org/wiki/Chrysiliou,3,4,3,0,0,3,3,12,3.260008428,7736,34
"Arroyo Colorado Estates, Texas","https://en.wikipedia.org/wiki/Arroyo_Colorado_Estates,_Texas",1,17,3,5,0,2,2,26,4.631689844,10991,82
Verona High School (New Jersey),https://en.wikipedia.org/wiki/Verona_High_School_(New_Jersey),2,0,73,10,0,3,0,258,14.02191319,33274,526
Sparsh (festival),https://en.wikipedia.org/wiki/Sparsh_(festival),1,0,12,8,0,2,1,137,0.838600927,1990,110
"Inukami District, Shiga","https://en.wikipedia.org/wiki/Inukami_District,_Shiga",6,9,0,0,1,2,0,54,4.267172356,10126,32
Kevin,https://en.wikipedia.org/wiki/Kevin,1,19,10,6,0,3,7,"6,706",331.6620312,787034,"1,600"
Linda Reidelbach,https://en.wikipedia.org/wiki/Linda_Reidelbach,1,1,3,0,0,9,0,15,3.442056469,8168,33
SMS G10,https://en.wikipedia.org/wiki/SMS_G10,0,1,39,5,0,4,2,24,0.423514539,1005,28
Taboo on the dead,https://en.wikipedia.org/wiki/Taboo_on_the_dead,0,0,13,6,0,2,5,"1,047",40.85756426,96955,65
Pachylia darceta,https://en.wikipedia.org/wiki/Pachylia_darceta,6,7,2,4,0,3,0,8,1.808680995,4292,28
Liscannor Bay,https://en.wikipedia.org/wiki/Liscannor_Bay,4,7,0,0,0,2,0,61,5.283607248,12538,43
Tenguella ceylonica,https://en.wikipedia.org/wiki/Tenguella_ceylonica,0,2,1,0,0,3,0,8,0.635903919,1509,4
Winscombe railway station,https://en.wikipedia.org/wiki/Winscombe_railway_station,2,0,4,0,1,6,0,38,4.017277708,9533,24
William Elliott (engraver),https://en.wikipedia.org/wiki/William_Elliott_(engraver),3,0,1,4,0,7,0,13,2.293299621,5442,30
"Lamentation of Christ (Dürer, Munich)","https://en.wikipedia.org/wiki/Lamentation_of_Christ_(D%C3%BCrer,_Munich)",2,7,1,4,0,7,2,155,9.683522967,22979,34
Cured (Red Dwarf),https://en.wikipedia.org/wiki/Cured_(Red_Dwarf),1,1,3,5,0,3,0,294,5.440792246,12911,11
Cooling down,https://en.wikipedia.org/wiki/Cooling_down,3,9,13,6,0,2,5,"2,685",118.1854193,280454,342
Salug River,https://en.wikipedia.org/wiki/Salug_River,1,0,3,0,0,3,0,55,2.807416772,6662,25
John Calvin Stevens House,https://en.wikipedia.org/wiki/John_Calvin_Stevens_House,6,0,2,0,0,8,0,26,4.159713443,9871,19
Protollin,https://en.wikipedia.org/wiki/Protollin,2,1,5,0,0,4,1,728,0.933839022,2216,8
Linda Haukaas,https://en.wikipedia.org/wiki/Linda_Haukaas,1,0,11,4,0,4,1,58,0.053518753,127,21
Reproduction,https://en.wikipedia.org/wiki/Reproduction,11,115,22,12,0,2,29,"25,736",1183.556679,2808580,"1,269"
Don't Get Comfortable (song),https://en.wikipedia.org/wiki/Don%27t_Get_Comfortable_(song),1,0,1,5,1,5,0,11,2.268436578,5383,12
Area 25 (Nevada National Security Site),https://en.wikipedia.org/wiki/Area_25_(Nevada_National_Security_Site),4,1,9,4,0,1,1,522,28.76780447,68266,70
Michael Handelsman,https://en.wikipedia.org/wiki/Michael_Handelsman,1,0,1,0,0,8,1,14,1.703750527,4043,9
2015–16 NC State Wolfpack women's basketball team,https://en.wikipedia.org/wiki/2015%E2%80%9316_NC_State_Wolfpack_women%27s_basketball_team,3,0,1,6,2,4,1,83,3.07922461,7307,104
Bide Dudley,https://en.wikipedia.org/wiki/Bide_Dudley,2,2,2,0,0,5,1,13,2.037505268,4835,9
Ekow Eshun,https://en.wikipedia.org/wiki/Ekow_Eshun,0,3,16,0,0,9,1,687,24.98019385,59278,139
Muhammad Ahmad,https://en.wikipedia.org/wiki/Muhammad_Ahmad,9,42,22,10,0,16,10,"7,857",347.4879899,824589,844
Kiltormer,https://en.wikipedia.org/wiki/Kiltormer,1,2,0,0,0,1,0,36,4.995364517,11854,78
John Goold,https://en.wikipedia.org/wiki/John_Goold,1,0,2,6,0,10,1,224,7.627475769,18100,53
Tagalog Republic,https://en.wikipedia.org/wiki/Tagalog_Republic,8,10,11,6,2,11,7,"4,092",118.1887906,280462,339
1955 Campeonato Paulista,https://en.wikipedia.org/wiki/1955_Campeonato_Paulista,0,4,3,0,2,2,0,22,1.12810788,2677,7
Abrothallus parmeliarum,https://en.wikipedia.org/wiki/Abrothallus_parmeliarum,2,4,2,0,0,4,0,20,0.367888748,873,2
The Last Parable,https://en.wikipedia.org/wiki/The_Last_Parable,0,0,4,0,0,4,0,7,2.568900126,6096,8
The Four Trees,https://en.wikipedia.org/wiki/The_Four_Trees,0,0,4,0,1,2,0,117,10.09397387,23953,46
Peugeot Type 68,https://en.wikipedia.org/wiki/Peugeot_Type_68,0,4,0,0,0,3,0,25,3.16350611,7507,19
DuPage Theatre and DuPage Shoppes,https://en.wikipedia.org/wiki/DuPage_Theatre_and_DuPage_Shoppes,3,0,2,0,0,7,0,45,3.571007164,8474,28
Viljam Johansson,https://en.wikipedia.org/wiki/Viljam_Johansson,2,4,2,0,0,7,1,4,0.701222082,1664,7
Bejaratana,https://en.wikipedia.org/wiki/Bejaratana,5,5,10,5,1,19,7,671,25.17488411,59740,287
Trash Hit,https://en.wikipedia.org/wiki/Trash_Hit,1,0,4,0,1,2,0,11,1.881584492,4465,28
"Mohammadabad-e Sofla, Kerman","https://en.wikipedia.org/wiki/Mohammadabad-e_Sofla,_Kerman",2,4,2,0,0,2,1,1,1.588284871,3769,6
Mireya Luis,https://en.wikipedia.org/wiki/Mireya_Luis,1,17,0,0,1,18,5,308,31.69995786,75224,140
Dirkou,https://en.wikipedia.org/wiki/Dirkou,3,11,6,0,0,2,0,351,11.26675095,26736,35
Battle of Peebles's Farm,https://en.wikipedia.org/wiki/Battle_of_Peebles%27s_Farm,3,2,5,7,0,9,3,245,13.96755162,33145,94
Screwjumper!,https://en.wikipedia.org/wiki/Screwjumper!,3,0,4,5,0,8,4,79,4.662873999,11065,35
Algarkirk and Sutterton railway station,https://en.wikipedia.org/wiki/Algarkirk_and_Sutterton_railway_station,1,0,1,0,1,4,5,25,3.708386009,8800,41
Nighthawk (Marvel Comics),https://en.wikipedia.org/wiki/Nighthawk_(Marvel_Comics),2,3,58,7,0,15,6,"8,092",386.5731142,917338,798
Peeli Sivam,https://en.wikipedia.org/wiki/Peeli_Sivam,1,1,6,6,5,5,0,836,71.39570164,169422,58
Andrew Russell (baseball),https://en.wikipedia.org/wiki/Andrew_Russell_(baseball),2,3,1,0,0,14,0,25,3.230088496,7665,18
Max Planck Institute of Psychiatry,https://en.wikipedia.org/wiki/Max_Planck_Institute_of_Psychiatry,0,3,18,7,0,5,4,181,13.84787189,32861,101
Limnephilus externus,https://en.wikipedia.org/wiki/Limnephilus_externus,2,6,4,0,0,3,0,3,0.514959966,1222,8
Allied Press,https://en.wikipedia.org/wiki/Allied_Press,5,0,18,6,0,7,1,85,8.543615676,20274,94
Nigel Ball,https://en.wikipedia.org/wiki/Nigel_Ball,0,1,0,5,1,10,1,19,2.528023599,5999,48
Final functor,https://en.wikipedia.org/wiki/Final_functor,0,0,0,0,0,1,0,21,2.439106616,5788,7
Andrew Greer,https://en.wikipedia.org/wiki/Andrew_Greer,1,1,27,8,0,9,2,406,22.93931732,54435,159
Spanish Federation of Sports for the Deaf,https://en.wikipedia.org/wiki/Spanish_Federation_of_Sports_for_the_Deaf,1,0,17,4,0,5,0,20,3.497260851,8299,67
Birgel,https://en.wikipedia.org/wiki/Birgel,5,28,9,7,0,2,0,18,4.272229246,10138,40
Problem of the criterion,https://en.wikipedia.org/wiki/Problem_of_the_criterion,2,5,3,0,0,3,7,897,27.61356932,65527,81
Yupun Abeykoon,https://en.wikipedia.org/wiki/Yupun_Abeykoon,0,1,49,5,0,9,3,277,10.18836915,24177,26
"Sir John Barker, 1st Baronet","https://en.wikipedia.org/wiki/Sir_John_Barker,_1st_Baronet",6,1,3,5,1,16,1,42,5.632954067,13367,90
Marilù Tolo,https://en.wikipedia.org/wiki/Maril%C3%B9_Tolo,1,12,2,4,0,7,1,"2,660",101.8971766,241802,99
John Kufuor,https://en.wikipedia.org/wiki/John_Kufuor,9,54,53,11,1,26,0,"4,594",188.5769069,447493,749
Romankenkius,https://en.wikipedia.org/wiki/Romankenkius,1,3,2,0,0,3,10,13,2.950273915,7001,39
List of ceremonial counties in England by gross value added,https://en.wikipedia.org/wiki/List_of_ceremonial_counties_in_England_by_gross_value_added,0,0,5,4,1,1,0,"3,203",83.72692794,198684,59
1937 in Canadian football,https://en.wikipedia.org/wiki/1937_in_Canadian_football,0,1,2,9,11,3,2,61,5.498946481,13049,112
"Bacton, Suffolk","https://en.wikipedia.org/wiki/Bacton,_Suffolk",2,7,1,0,0,3,1,83,7.669616519,18200,91
Oliver Moors,https://en.wikipedia.org/wiki/Oliver_Moors,7,0,3,0,0,4,2,32,2.650231774,6289,62
Thorp T-211,https://en.wikipedia.org/wiki/Thorp_T-211,2,2,5,6,0,6,10,202,12.7808681,30329,94
Sahaphum Party,https://en.wikipedia.org/wiki/Sahaphum_Party,1,1,6,0,0,6,2,65,1.645596292,3905,19
Turznice,https://en.wikipedia.org/wiki/Turznice,4,8,1,0,0,2,1,2,1.294142436,3071,11
2003 Sundance Film Festival,https://en.wikipedia.org/wiki/2003_Sundance_Film_Festival,2,1,4,0,0,7,1,165,9.661188369,22926,52
Keokuk's Reserve,https://en.wikipedia.org/wiki/Keokuk%27s_Reserve,1,0,6,4,0,7,0,46,5.694900969,13514,29
Felons and Revolutionaries,https://en.wikipedia.org/wiki/Felons_and_Revolutionaries,1,6,4,5,3,3,12,862,51.07585335,121203,211
Vikram Patel,https://en.wikipedia.org/wiki/Vikram_Patel,0,5,20,4,0,10,1,479,27.73788453,65822,89
Daniel R. Barrone,https://en.wikipedia.org/wiki/Daniel_R._Barrone,0,0,7,0,0,5,0,146,2.131057733,5057,12
"Berthold II, Duke of Swabia","https://en.wikipedia.org/wiki/Berthold_II,_Duke_of_Swabia",1,16,2,0,1,4,8,272,10.84492204,25735,54
Lance Dann,https://en.wikipedia.org/wiki/Lance_Dann,0,0,12,0,0,6,0,48,3.710914454,8806,144
Bertha Hernández Fernández,https://en.wikipedia.org/wiki/Bertha_Hern%C3%A1ndez_Fern%C3%A1ndez,2,1,4,0,0,11,1,50,4.262536873,10115,27
Merima Ključo,https://en.wikipedia.org/wiki/Merima_Klju%C4%8Do,1,1,7,0,0,9,2,61,5.916139907,14039,89
Andhra Pradesh,https://en.wikipedia.org/wiki/Andhra_Pradesh,74,123,226,14,0,5,50,"219,094",6226.013064,14774329,"13,550"
Thiohalomonas,https://en.wikipedia.org/wiki/Thiohalomonas,2,0,4,0,0,3,0,3,0.847871892,2012,8
Haggertyite,https://en.wikipedia.org/wiki/Haggertyite,1,6,2,0,0,8,0,24,5.263801096,12491,34
Stéphane Bourgoin,https://en.wikipedia.org/wiki/St%C3%A9phane_Bourgoin,1,2,9,0,0,9,1,"2,857",12.6346397,29982,72
2018–19 South-West Indian Ocean cyclone season,https://en.wikipedia.org/wiki/2018%E2%80%9319_South-West_Indian_Ocean_cyclone_season,39,7,68,8,1,4,12,986,117.9726085,279949,"1,694"
"Peter Anderson (cricketer, born 1968)","https://en.wikipedia.org/wiki/Peter_Anderson_(cricketer,_born_1968)",1,1,1,0,0,6,0,14,2.298777918,5455,6
Alasdair Gray,https://en.wikipedia.org/wiki/Alasdair_Gray,5,21,118,11,0,35,3,"3,427",122.1554994,289875,"1,320"
Khánh Bình Tây,https://en.wikipedia.org/wiki/Kh%C3%A1nh_B%C3%ACnh_T%C3%A2y,2,2,0,0,0,3,1,7,2.415929204,5733,9
1994 College Football All-America Team,https://en.wikipedia.org/wiki/1994_College_Football_All-America_Team,0,0,6,5,0,2,0,205,11.87442056,28178,75
Gongsun Gong,https://en.wikipedia.org/wiki/Gongsun_Gong,1,8,0,0,0,5,0,193,11.21997472,26625,55
Eugénie Buffet,https://en.wikipedia.org/wiki/Eug%C3%A9nie_Buffet,3,4,17,7,0,5,1,81,7.044247788,16716,93
2020 All Africa Men's and Women's Team Badminton Championships,https://en.wikipedia.org/wiki/2020_All_Africa_Men%27s_and_Women%27s_Team_Badminton_Championships,0,1,22,6,4,4,0,46,2.759376317,6548,90
Detto Mariano,https://en.wikipedia.org/wiki/Detto_Mariano,1,16,3,4,0,7,1,130,13.42857143,31866,52
Cereal Killer,https://en.wikipedia.org/wiki/Cereal_Killer,2,1,3,0,1,7,1,621,50.50611041,119851,87
Citrus latipes,https://en.wikipedia.org/wiki/Citrus_latipes,2,4,3,0,0,4,1,89,11.45006321,27171,26
Thall,https://en.wikipedia.org/wiki/Thall,4,2,6,5,1,2,0,365,17.01727771,40382,179
Patrick Aisa,https://en.wikipedia.org/wiki/Patrick_Aisa,2,4,3,0,1,9,0,43,3.99157185,9472,25
.cyou,https://en.wikipedia.org/wiki/.cyou,3,4,3,0,0,4,1,863,3.697429414,8774,7
Martens Clause,https://en.wikipedia.org/wiki/Martens_Clause,1,10,21,0,0,4,1,687,45.72987779,108517,112
"Villalba, Puerto Rico","https://en.wikipedia.org/wiki/Villalba,_Puerto_Rico",10,19,35,15,0,5,0,530,31.06236831,73711,283
Induku Zethu,https://en.wikipedia.org/wiki/Induku_Zethu,1,0,6,0,1,3,0,17,4.266329541,10124,15
Brigitte Millar,https://en.wikipedia.org/wiki/Brigitte_Millar,3,1,3,3,2,6,0,"5,833",17.854193,42368,18
Tar (tobacco residue),https://en.wikipedia.org/wiki/Tar_(tobacco_residue),0,5,9,2,0,1,1,"2,691",165.553308,392858,282
Devi Maya Paneru,https://en.wikipedia.org/wiki/Devi_Maya_Paneru,1,0,2,0,0,8,1,11,1.307206068,3102,8
HMS Pargust,https://en.wikipedia.org/wiki/HMS_Pargust,2,1,4,6,0,2,1,51,5.108301728,12122,34
Zumaglia,https://en.wikipedia.org/wiki/Zumaglia,5,44,3,0,0,3,0,29,3.572692794,8478,37
